City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,opuwo,-18.0607,13.84,28.59,19,4,1.23,NA,1693645946
242,la ronge,55.1001,-105.2842,18.14,72,0,4.12,CA,1693645946
243,contamana,-7.3333,-75.0167,23.0,78,5,1.24,PE,1693645946
244,muang phonsavan,19.45,103.2167,24.31,72,99,0.88,LA,1693645947
245,the pas,53.8251,-101.2541,20.01,77,0,5.14,CA,1693645947
246,chinde,26.8418,88.0763,25.0,77,59,1.58,NP,1693645950
247,caazapa,-26.15,-56.4,18.93,95,23,3.55,PY,1693645951
248,sirte,31.2089,16.5887,29.06,61,0,5.04,LY,1693645951
249,kumeny,58.1089,49.9161,18.78,54,13,3.22,RU,1693645951
250,amga,60.8953,131.9608,8.14,67,100,2.19,RU,1693645952
251,laguna,38.421,-121.4238,18.2,78,40,3.09,US,1693645684
252,mirnyy,62.5353,113.9611,12.91,32,18,4.92,RU,1693645952
253,sabang,5.8933,95.3214,28.37,76,100,9.24,ID,1693645953
254,suntar,62.1444,117.6319,13.18,40,9,3.5,RU,1693645953
255,altamont,42.2068,-121.7372,10.99,92,75,2.57,US,1693645954
256,yangiobod,41.1192,70.0941,25.24,16,0,3.72,UZ,1693645954
257,caconda,-13.7333,15.0667,26.72,10,2,2.45,AO,1693645954
258,al khums,32.6486,14.2619,28.06,65,1,4.0,LY,1693645955
259,rawson,-43.3002,-65.1023,4.92,71,42,4.89,AR,1693645704
260,yelizovo,53.1873,158.3805,15.62,67,89,1.79,RU,1693645955
261,gaozhou,21.9392,110.8461,23.62,96,100,12.28,CN,1693645955
262,sandnessjoen,66.0217,12.6316,12.29,79,100,1.0,NO,1693645955
263,floro,61.5996,5.0328,13.98,62,40,4.12,NO,1693645956
264,olinda,-8.0089,-34.8553,23.85,94,100,3.6,BR,1693645956
265,saldanha,-33.0117,17.9442,16.03,61,100,5.18,ZA,1693645956
266,el monte,34.0686,-118.0276,23.39,80,100,0.45,US,1693645956
